Years,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Energy Million tonnes oil equivalent,3703.4,3904.3,4052.1,4298,4591.1,4876.1,5080.9,5354.6,5662.7,5689.9,5719.6,6030.8,6245.1,6459.7,6684.2,6635.5,6598.4,6570.4,6674.5,6989.8,7167.7,7325.4,7581.3,7867.7,8023.2,8115.5,8168.4,8223.9,8286.3,8395.7,8565.8,8821.3,8912.3,8965.7,9128.6,9357,9462.5,9676.5,10031.6,10524.1,10887.9,11205.8,11561.9,11705.1,11540.3,12099.9,12403.7,12575.5,12819.4,12939.8,13045.6,13228.6,13474.6,13864.9
GDP (current US$),1.451E+13,1.56651E+13,1.65996E+13,1.7875E+13,1.9724E+13,2.19207E+13,2.4176E+13,2.78505E+13,3.42622E+13,3.99632E+13,4.46103E+13,4.82699E+13,5.4547E+13,6.36842E+13,7.45462E+13,8.4832E+13,8.79576E+13,8.67526E+13,8.72558E+13,8.96594E+13,9.41195E+13,1.10289E+14,1.24892E+14,1.41612E+14,1.47349E+14,1.67825E+14,1.77373E+14,1.87282E+14,1.90414E+14,2.04322E+14,2.28116E+14,2.34966E+14,2.34772E+14,2.34339E+14,2.4051E+14,2.48356E+14,2.4781E+14,2.57672E+14,2.91046E+14,3.30723E+14,3.62264E+14,3.97858E+14,4.56042E+14,5.08577E+14,4.82399E+14,5.34951E+14,6.00701E+14,6.17304E+14,6.398E+14,6.58568E+14,6.1962E+14,6.26619E+14,6.70282E+14,7.07554E+14
